Starting rotation scan...

Current Voltage:  11.23
Current Voltage:  11.23
Current Voltage:  11.22
Current Voltage:  11.22
Current Voltage:  11.21
Current Voltage:  11.21
Current Voltage:  11.21
Current Voltage:  11.21
Current Voltage:  11.22
Current Voltage:  11.22
Current Voltage:  11.23
Current Voltage:  11.24
Current Voltage:  11.25
Current Voltage:  11.26
Current Voltage:  11.26
Current Voltage:  11.28
Current Voltage:  11.27
Current Voltage:  11.26
Current Voltage:  11.28
Current Voltage:  11.26
Current Voltage:  11.27
Current Voltage:  11.32
Current Voltage:  11.39
Current Voltage:  11.47
Current Voltage:  11.61
Current Voltage:  11.72
Current Voltage:  11.72
Current Voltage:  11.69
Current Voltage:  11.68
Current Voltage:  11.69
Current Voltage:  11.73
Current Voltage:  11.78
Current Voltage:  11.82
Current Voltage:  11.88
Current Voltage:  11.91
Current Voltage:  11.97
Current Voltage:  12.03
Current Voltage:  12.06
Current Voltage:  12.08
Current Voltage:  12.14
Current Voltage:  12.19
Current Voltage:  12.22
Current Voltage:  12.22
Current Voltage:  12.21
Current Voltage:  12.19
Current Voltage:  12.19
Current Voltage:  12.21
Current Voltage:  12.19
Current Voltage:  12.14
Current Voltage:  12.13
Current Voltage:  12.08
Current Voltage:  12.09
Current Voltage:  12.12
Current Voltage:  12.14
Current Voltage:  12.14
Current Voltage:  12.1
Current Voltage:  12.07
Current Voltage:  12.02
Current Voltage:  11.97
Current Voltage:  11.94
Current Voltage:  11.91
Current Voltage:  11.9
Current Voltage:  11.9
Current Voltage:  11.92
Current Voltage:  11.89
Current Voltage:  11.88
Current Voltage:  11.82
Current Voltage:  11.77
Current Voltage:  11.73
Current Voltage:  11.69
Current Voltage:  11.66
Current Voltage:  11.62
Current Voltage:  11.61
Current Voltage:  11.59
Current Voltage:  11.59
Current Voltage:  11.54
Current Voltage:  11.52
Current Voltage:  11.48
Current Voltage:  11.45
Current Voltage:  11.4
Current Voltage:  11.37
Current Voltage:  11.37
Current Voltage:  11.38
Current Voltage:  11.37
Current Voltage:  11.35
Current Voltage:  11.32
Current Voltage:  11.29
Current Voltage:  11.27
Current Voltage:  11.25
Current Voltage:  11.23
Current Voltage:  11.22
Current Voltage:  11.21
Current Voltage:  11.19
Current Voltage:  11.18
Current Voltage:  11.16
Current Voltage:  11.15
Current Voltage:  11.14
Current Voltage:  11.14
Current Voltage:  11.15
Current Voltage:  11.14
Rotating back 212.40 degrees

Starting pitch scan...

Current Voltage:  12.36
Current Voltage:  12.33
Current Voltage:  12.29
Current Voltage:  12.21
Current Voltage:  12.12
Current Voltage:  12.05
Current Voltage:  11.97
Current Voltage:  11.88
Current Voltage:  11.77
Current Voltage:  11.64
Pitching back 36.00 degrees

Best orientation found.

Current position: 151.20 degrees, pitch -36.00 degrees
Current Voltage:  12.41
Seconds elapsed:  5
Current Voltage:  12.34
Seconds elapsed:  10
Current Voltage:  12.24
Seconds elapsed:  15
Current Voltage:  12.13
Seconds elapsed:  20
Current Voltage:  12.11
Seconds elapsed:  25
Current Voltage:  12.27
Seconds elapsed:  30
Current Voltage:  12.1
Seconds elapsed:  35
Current Voltage:  12.16
Seconds elapsed:  40
Current Voltage:  12.2
Seconds elapsed:  45
Current Voltage:  12.2
Seconds elapsed:  50
Current Voltage:  12.12
Seconds elapsed:  55
Current Voltage:  12.03
Seconds elapsed:  60

Updating scan...

Current Voltage:  11.84
Current Voltage:  11.84
Current Voltage:  11.84
Current Voltage:  11.86
Current Voltage:  11.88
Current Voltage:  11.91
Current Voltage:  11.91
Current Voltage:  11.95
Current Voltage:  11.97
Current Voltage:  11.98
Current Voltage:  12.03
Current Voltage:  12.08
Current Voltage:  12.1
Current Voltage:  12.12
Current Voltage:  12.12
Current Voltage:  12.13
Rotating back 3.60 degrees
Current Voltage:  12.0
Current Voltage:  11.99
Current Voltage:  11.99
Current Voltage:  11.96
Current Voltage:  11.92
Pitching back 18.00 degrees
Current position: 180.00 degrees, pitch -36.00 degrees
Current Voltage:  12.15
Seconds elapsed:  5
Current Voltage:  12.18
Seconds elapsed:  10
Current Voltage:  12.11
Seconds elapsed:  15
Current Voltage:  12.12
Seconds elapsed:  20
Current Voltage:  12.04
